ts,embb_rate,urllc_rate,mmtc_rate,action,layer,reason,embb_bps,embb_ewma,embb_slope,urllc_rtt,predicted_urllc_rtt
2025-12-25T18:34:00.244185Z,40mbit,10mbit,800kbit,none,,,21280,15500,517,0.394,5.827
2025-12-25T18:34:00.739226Z,40mbit,10mbit,800kbit,none,,,15440,15482,482,0.190,6.646
2025-12-25T18:34:01.238859Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15840,15589,207,0.193,8.636
2025-12-25T18:34:01.740403Z,40mbit,10mbit,800kbit,none,,,15440,15544,2521,0.193,6.247
2025-12-25T18:34:02.238698Z,40mbit,10mbit,800kbit,none,,,16272,15762,262,0.193,5.701
2025-12-25T18:34:02.740324Z,40mbit,10mbit,800kbit,none,,,15440,15665,183,0.194,6.594
2025-12-25T18:34:03.240136Z,40mbit,10mbit,800kbit,none,,,15040,15478,-111,0.194,8.670
2025-12-25T18:34:03.739290Z,40mbit,10mbit,800kbit,none,,,15040,15346,-197,0.434,7.585
2025-12-25T18:34:04.238233Z,40mbit,10mbit,800kbit,none,,,13440,14774,-988,0.438,5.278
2025-12-25T18:34:04.740132Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15840,15094,-571,0.437,7.852
2025-12-25T18:34:05.238761Z,40mbit,10mbit,800kbit,none,,,13840,14718,-760,0.630,7.583
2025-12-25T18:34:05.744796Z,40mbit,10mbit,800kbit,none,,,13840,14454,-892,0.660,7.663
2025-12-25T18:34:06.241417Z,40mbit,10mbit,800kbit,none,,,15040,14630,-144,0.457,5.767
2025-12-25T18:34:06.740525Z,40mbit,10mbit,800kbit,none,,,15440,14873,-221,0.455,7.727
2025-12-25T18:34:07.239950Z,40mbit,10mbit,800kbit,none,,,13440,14443,-274,0.454,7.472
2025-12-25T18:34:07.740719Z,40mbit,10mbit,800kbit,none,,,13440,14142,-312,0.257,7.556
2025-12-25T18:34:08.238871Z,40mbit,10mbit,800kbit,none,,,15040,14411,-218,0.228,6.620
2025-12-25T18:34:08.739030Z,40mbit,10mbit,800kbit,none,,,15040,14600,-273,0.159,6.474
2025-12-25T18:34:09.240175Z,40mbit,10mbit,800kbit,none,,,11840,13772,-671,0.156,7.955
2025-12-25T18:34:09.738528Z,40mbit,10mbit,800kbit,none,,,15040,14152,10,0.156,6.926
2025-12-25T18:34:10.240107Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,14418,7,0.155,5.603
2025-12-25T18:34:10.738539Z,40mbit,10mbit,800kbit,none,,,15840,14845,244,0.156,6.547
2025-12-25T18:34:11.238851Z,40mbit,10mbit,800kbit,none,,,13440,14423,651,0.150,7.822
2025-12-25T18:34:11.739182Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,14728,576,0.149,6.673
2025-12-25T18:34:12.239125Z,40mbit,10mbit,800kbit,none,,,15840,15061,643,0.182,5.348
2025-12-25T18:34:12.738480Z,40mbit,10mbit,800kbit,none,,,15040,15055,210,0.182,7.223
2025-12-25T18:34:13.238480Z,40mbit,10mbit,800kbit,none,,,15440,15170,747,0.314,8.032
2025-12-25T18:34:13.739492Z,40mbit,10mbit,800kbit,none,,,15440,15251,523,0.415,6.070
2025-12-25T18:34:14.238774Z,40mbit,10mbit,800kbit,none,,,15040,15188,126,0.419,6.068
2025-12-25T18:34:14.739061Z,40mbit,10mbit,800kbit,none,,,15040,15143,88,0.422,7.172
2025-12-25T18:34:15.238460Z,40mbit,10mbit,800kbit,none,,,13440,14632,-538,0.385,8.020
2025-12-25T18:34:15.739843Z,40mbit,10mbit,800kbit,none,,,15040,14754,-496,0.248,6.051
2025-12-25T18:34:16.239185Z,40mbit,10mbit,800kbit,none,,,13440,14360,-827,0.136,6.607
2025-12-25T18:34:16.738879Z,40mbit,10mbit,800kbit,none,,,15440,14684,-459,0.139,7.458
2025-12-25T18:34:17.239520Z,40mbit,10mbit,800kbit,none,,,15040,14790,158,0.129,6.967
2025-12-25T18:34:17.740382Z,40mbit,10mbit,800kbit,none,,,15440,14985,230,0.129,6.781
2025-12-25T18:34:18.241846Z,40mbit,10mbit,800kbit,none,,,15440,15121,761,0.136,6.754
2025-12-25T18:34:18.739102Z,40mbit,10mbit,800kbit,none,,,15440,15217,533,0.145,7.369
2025-12-25T18:34:19.240199Z,40mbit,10mbit,800kbit,none,,,15440,15284,493,0.151,7.111
2025-12-25T18:34:19.740339Z,40mbit,10mbit,800kbit,none,,,15440,15330,345,0.151,6.973
2025-12-25T18:34:20.239529Z,40mbit,10mbit,800kbit,none,,,15040,15243,121,0.138,7.272
2025-12-25T18:34:20.738862Z,40mbit,10mbit,800kbit,none,,,13840,14822,-394,0.138,6.754
2025-12-25T18:34:21.240433Z,40mbit,10mbit,800kbit,none,,,11840,13927,-1356,0.138,7.108
2025-12-25T18:34:21.738286Z,40mbit,10mbit,800kbit,none,,,15040,14261,-1069,0.138,6.114
2025-12-25T18:34:22.238781Z,40mbit,10mbit,800kbit,none,,,15440,14615,-628,0.147,6.630
2025-12-25T18:34:22.738449Z,40mbit,10mbit,800kbit,none,,,13840,14382,-440,0.137,7.013
2025-12-25T18:34:23.240244Z,40mbit,10mbit,800kbit,none,,,11840,13619,-308,0.136,7.125
2025-12-25T18:34:23.739483Z,40mbit,10mbit,800kbit,none,,,13840,13685,-575,0.141,5.466
2025-12-25T18:34:24.238569Z,40mbit,10mbit,800kbit,none,,,15040,14092,-522,0.162,5.998
2025-12-25T18:34:24.739101Z,40mbit,10mbit,800kbit,none,,,15040,14376,-6,0.165,7.532
2025-12-25T18:34:25.240471Z,40mbit,10mbit,800kbit,none,,,15440,14695,1075,0.165,7.338
2025-12-25T18:34:25.738959Z,40mbit,10mbit,800kbit,none,,,16672,15288,1602,0.172,5.466
2025-12-25T18:34:26.239225Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,15333,1241,0.162,5.969
2025-12-25T18:34:26.740339Z,40mbit,10mbit,800kbit,none,,,13440,14765,389,0.159,7.850
2025-12-25T18:34:27.238936Z,40mbit,10mbit,800kbit,none,,,13840,14488,-207,0.163,7.466
2025-12-25T18:34:27.738833Z,40mbit,10mbit,800kbit,none,,,13440,14173,-1114,0.155,5.482
2025-12-25T18:34:28.238232Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15840,14673,-660,0.154,6.231
2025-12-25T18:34:28.738908Z,40mbit,10mbit,800kbit,none,,,15840,15023,257,0.165,7.088
2025-12-25T18:34:29.241045Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,15148,660,0.179,6.911
2025-12-25T18:34:29.740618Z,40mbit,10mbit,800kbit,none,,,15040,15115,942,0.164,5.846
2025-12-25T18:34:30.238514Z,40mbit,10mbit,800kbit,none,,,13840,14733,59,0.170,6.899
2025-12-25T18:34:30.738616Z,40mbit,10mbit,800kbit,none,,,13440,14345,-678,0.178,7.542
2025-12-25T18:34:31.240488Z,40mbit,10mbit,800kbit,none,,,15440,14673,-474,0.176,6.890
2025-12-25T18:34:31.738417Z,40mbit,10mbit,800kbit,none,,,13840,14423,-692,0.176,6.858
2025-12-25T18:34:32.238509Z,40mbit,10mbit,800kbit,none,,,13440,14128,-604,0.173,6.638
2025-12-25T18:34:32.739281Z,40mbit,10mbit,800kbit,none,,,13440,13921,-423,0.158,6.321
2025-12-25T18:34:33.238261Z,40mbit,10mbit,800kbit,none,,,15440,14377,-296,0.213,6.077
2025-12-25T18:34:33.738972Z,40mbit,10mbit,800kbit,none,,,13440,14096,-327,0.213,6.675
2025-12-25T18:34:34.240395Z,40mbit,10mbit,800kbit,none,,,15440,14499,370,0.213,7.266
2025-12-25T18:34:34.739394Z,40mbit,10mbit,800kbit,none,,,13840,14301,379,0.209,6.326
2025-12-25T18:34:35.239033Z,40mbit,10mbit,800kbit,none,,,14672,14412,35,0.600,6.077
2025-12-25T18:34:35.740173Z,40mbit,10mbit,800kbit,none,,,16672,15090,994,0.600,6.684
2025-12-25T18:34:36.238282Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,15075,576,0.612,7.501
2025-12-25T18:34:36.739699Z,40mbit,10mbit,800kbit,none,,,15840,15304,1003,0.625,6.534
2025-12-25T18:34:37.240342Z,40mbit,10mbit,800kbit,none,,,15440,15345,932,0.562,6.260
2025-12-25T18:34:37.738645Z,40mbit,10mbit,800kbit,none,,,15040,15253,163,0.617,7.310
2025-12-25T18:34:38.240362Z,40mbit,10mbit,800kbit,none,,,15440,15309,234,0.216,6.796
2025-12-25T18:34:38.740544Z,40mbit,10mbit,800kbit,none,,,16272,15598,293,0.216,7.608
2025-12-25T18:34:39.240595Z,40mbit,10mbit,800kbit,none,,,15040,15430,85,0.216,6.877
2025-12-25T18:34:39.738735Z,40mbit,10mbit,800kbit,none,,,15040,15313,59,0.212,6.946
2025-12-25T18:34:40.240947Z,40mbit,10mbit,800kbit,none,,,15440,15351,41,0.210,7.322
2025-12-25T18:34:40.740416Z,40mbit,10mbit,800kbit,none,,,15840,15498,-100,0.210,7.504
2025-12-25T18:34:41.239293Z,40mbit,10mbit,800kbit,none,,,15040,15360,-70,0.210,7.280
2025-12-25T18:34:41.738319Z,40mbit,10mbit,800kbit,none,,,15840,15504,190,0.168,7.652
2025-12-25T18:34:42.240448Z,40mbit,10mbit,800kbit,none,,,15440,15485,133,0.168,7.289
2025-12-25T18:34:42.740576Z,40mbit,10mbit,800kbit,none,,,11840,14391,-1106,0.945,7.340
2025-12-25T18:34:43.241226Z,40mbit,10mbit,800kbit,none,,,15040,14586,-774,1.121,7.562
2025-12-25T18:34:43.738390Z,40mbit,10mbit,800kbit,none,,,15840,14962,-542,1.178,7.017
2025-12-25T18:34:44.238940Z,40mbit,10mbit,800kbit,none,,,13840,14625,-859,1.176,7.352
2025-12-25T18:34:44.738602Z,40mbit,10mbit,800kbit,none,,,11840,13789,-601,1.169,7.556
2025-12-25T18:34:45.239722Z,40mbit,10mbit,800kbit,none,,,15040,14164,-421,0.497,6.641
2025-12-25T18:34:45.739567Z,40mbit,10mbit,800kbit,none,,,15440,14547,-414,0.497,6.375
2025-12-25T18:34:46.239014Z,40mbit,10mbit,800kbit,none,,,15040,14695,69,0.314,7.893
2025-12-25T18:34:46.740392Z,40mbit,10mbit,800kbit,none,,,15440,14918,1128,0.259,8.362
2025-12-25T18:34:47.244301Z,40mbit,10mbit,800kbit,none,,,15440,15075,910,0.259,6.048
2025-12-25T18:34:47.738739Z,40mbit,10mbit,800kbit,none,,,15440,15184,637,0.260,6.314
2025-12-25T18:34:48.238550Z,40mbit,10mbit,800kbit,none,,,15440,15261,565,0.258,8.460
2025-12-25T18:34:48.740350Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,15314,396,0.152,8.272
2025-12-25T18:34:49.239913Z,40mbit,10mbit,800kbit,none,,,15040,15232,157,0.148,6.009
2025-12-25T18:34:49.739246Z,40mbit,10mbit,800kbit,none,,,16272,15544,359,0.141,6.901
2025-12-25T18:34:50.239907Z,40mbit,10mbit,800kbit,none,,,13840,15032,-228,0.141,7.751
2025-12-25T18:34:50.738790Z,40mbit,10mbit,800kbit,none,,,15840,15275,-39,0.139,7.412
2025-12-25T18:34:51.240004Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,11840,14244,-987,0.535,6.648
2025-12-25T18:34:51.738471Z,40mbit,10mbit,800kbit,none,,,15440,14603,-941,0.544,7.215
2025-12-25T18:34:52.240247Z,40mbit,10mbit,800kbit,none,,,14272,14503,-529,0.544,6.821
2025-12-25T18:34:52.740047Z,40mbit,10mbit,800kbit,none,,,15040,14664,-610,0.546,7.704
2025-12-25T18:34:53.239458Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,14777,532,0.546,6.620
2025-12-25T18:34:53.738841Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,14976,372,0.550,6.802
2025-12-25T18:34:54.239324Z,40mbit,10mbit,800kbit,none,,,13840,14635,131,0.155,7.133
2025-12-25T18:34:54.740401Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,14876,212,0.154,7.158
2025-12-25T18:34:55.240244Z,40mbit,10mbit,800kbit,none,,,13440,14445,-331,0.154,7.646
2025-12-25T18:34:55.740330Z,40mbit,10mbit,800kbit,none,,,13840,14263,-712,0.152,6.440
2025-12-25T18:34:56.240389Z,40mbit,10mbit,800kbit,none,,,15440,14616,-18,0.151,6.763
2025-12-25T18:34:56.739999Z,40mbit,10mbit,800kbit,none,,,15440,14863,-12,0.151,6.817
2025-12-25T18:34:57.238736Z,40mbit,10mbit,800kbit,none,,,15440,15036,590,0.150,6.934
2025-12-25T18:34:57.740134Z,40mbit,10mbit,800kbit,none,,,15040,15037,773,0.150,6.568
2025-12-25T18:34:58.238791Z,40mbit,10mbit,800kbit,none,,,13840,14678,61,0.377,7.079
2025-12-25T18:34:58.740230Z,40mbit,10mbit,800kbit,none,,,15440,14906,43,0.391,6.391
2025-12-25T18:34:59.241342Z,40mbit,10mbit,800kbit,none,,,15440,15066,30,0.391,7.326
2025-12-25T18:34:59.740363Z,40mbit,10mbit,800kbit,none,,,15840,15298,261,0.391,7.247
2025-12-25T18:35:00.240450Z,40mbit,10mbit,800kbit,none,,,13440,14741,62,0.395,6.631
2025-12-25T18:35:00.738855Z,40mbit,10mbit,800kbit,none,,,14272,14600,-306,0.395,6.661
2025-12-25T18:35:01.238423Z,40mbit,10mbit,800kbit,none,,,15440,14852,-214,0.395,6.621
2025-12-25T18:35:01.739691Z,40mbit,10mbit,800kbit,none,,,15040,14908,-390,0.398,7.246
2025-12-25T18:35:02.240287Z,40mbit,10mbit,800kbit,none,,,15440,15068,326,0.399,7.329
2025-12-25T18:35:02.739377Z,40mbit,10mbit,800kbit,none,,,15840,15299,699,0.179,6.702
2025-12-25T18:35:03.240102Z,40mbit,10mbit,800kbit,none,,,15440,15341,489,0.171,6.657
2025-12-25T18:35:03.738829Z,40mbit,10mbit,800kbit,none,,,13840,14891,-17,0.171,7.380
2025-12-25T18:35:04.238838Z,40mbit,10mbit,800kbit,none,,,15040,14935,-132,0.171,7.976
2025-12-25T18:35:04.738777Z,40mbit,10mbit,800kbit,none,,,15440,15087,-212,0.171,6.637
2025-12-25T18:35:05.239003Z,40mbit,10mbit,800kbit,none,,,15440,15192,-148,0.171,6.878
2025-12-25T18:35:05.740186Z,40mbit,10mbit,800kbit,none,,,15440,15267,375,0.169,7.315
2025-12-25T18:35:06.240086Z,40mbit,10mbit,800kbit,none,,,15840,15438,503,0.169,7.268
2025-12-25T18:35:06.738872Z,40mbit,10mbit,800kbit,none,,,15840,15559,472,0.169,6.573
2025-12-25T18:35:07.241070Z,40mbit,10mbit,800kbit,none,,,15040,15403,210,0.157,7.331
2025-12-25T18:35:07.738759Z,40mbit,10mbit,800kbit,none,,,15440,15414,147,0.151,7.864
2025-12-25T18:35:08.238607Z,40mbit,10mbit,800kbit,none,,,15040,15302,-136,0.154,6.875
2025-12-25T18:35:08.738441Z,40mbit,10mbit,800kbit,none,,,13440,14743,-815,0.142,7.031
2025-12-25T18:35:09.238864Z,40mbit,10mbit,800kbit,none,,,15440,14952,-451,0.135,7.204
2025-12-25T18:35:09.738553Z,40mbit,10mbit,800kbit,none,,,16672,15468,53,0.137,7.086
2025-12-25T18:35:10.238795Z,40mbit,10mbit,800kbit,none,,,13440,14859,-442,0.141,7.101
2025-12-25T18:35:10.740287Z,40mbit,10mbit,800kbit,none,,,15040,14913,170,0.174,7.371
2025-12-25T18:35:11.239083Z,40mbit,10mbit,800kbit,none,,,15440,15071,119,0.174,6.599
2025-12-25T18:35:11.738279Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,16272,15431,-36,0.181,6.940
2025-12-25T18:35:12.240613Z,40mbit,10mbit,800kbit,none,,,13840,14954,94,0.184,7.503
2025-12-25T18:35:12.738497Z,40mbit,10mbit,800kbit,none,,,13840,14619,-293,0.184,8.029
2025-12-25T18:35:13.238268Z,40mbit,10mbit,800kbit,none,,,15040,14745,-325,0.184,5.833
2025-12-25T18:35:13.738446Z,40mbit,10mbit,800kbit,none,,,13840,14474,-957,0.189,6.692
2025-12-25T18:35:14.241461Z,40mbit,10mbit,800kbit,none,,,15440,14763,-190,0.192,8.315
2025-12-25T18:35:14.740512Z,40mbit,10mbit,800kbit,none,,,15440,14966,346,0.163,6.882
2025-12-25T18:35:15.238844Z,40mbit,10mbit,800kbit,none,,,13440,14508,-237,0.174,6.167
2025-12-25T18:35:15.739147Z,40mbit,10mbit,800kbit,none,,,13440,14188,-286,0.175,6.598
2025-12-25T18:35:16.241791Z,40mbit,10mbit,800kbit,none,,,16272,14813,49,0.175,7.295
2025-12-25T18:35:16.738292Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15840,15121,154,0.161,6.733
2025-12-25T18:35:17.238325Z,40mbit,10mbit,800kbit,none,,,15840,15336,828,0.161,6.926
2025-12-25T18:35:17.738410Z,40mbit,10mbit,800kbit,none,,,15440,15367,1179,0.161,7.096
2025-12-25T18:35:18.238397Z,40mbit,10mbit,800kbit,none,,,15872,15519,705,0.592,6.494
2025-12-25T18:35:18.739929Z,40mbit,10mbit,800kbit,none,,,13440,14895,-225,0.576,6.815
2025-12-25T18:35:19.238289Z,40mbit,10mbit,800kbit,none,,,15040,14938,-398,0.570,8.107
2025-12-25T18:35:19.738249Z,40mbit,10mbit,800kbit,none,,,13840,14609,-758,0.794,7.021
2025-12-25T18:35:20.238588Z,40mbit,10mbit,800kbit,none,,,15040,14738,-780,0.796,6.223
2025-12-25T18:35:20.741001Z,40mbit,10mbit,800kbit,none,,,13440,14348,-546,0.796,6.927
2025-12-25T18:35:21.241376Z,40mbit,10mbit,800kbit,none,,,15840,14796,-142,0.796,7.577
2025-12-25T18:35:21.738810Z,40mbit,10mbit,800kbit,none,,,13440,14389,-219,0.373,6.693
2025-12-25T18:35:22.241259Z,40mbit,10mbit,800kbit,none,,,13440,14104,-633,0.391,7.305
2025-12-25T18:35:22.738891Z,40mbit,10mbit,800kbit,none,,,11840,13425,-923,0.401,7.413
2025-12-25T18:35:23.240528Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,13909,-886,0.808,6.391
2025-12-25T18:35:23.739311Z,40mbit,10mbit,800kbit,none,,,15040,14248,-140,0.808,6.714
2025-12-25T18:35:24.239976Z,40mbit,10mbit,800kbit,none,,,13440,14006,-98,1.566,7.539
2025-12-25T18:35:24.738875Z,40mbit,10mbit,800kbit,none,,,15840,14556,1131,1.550,6.910
2025-12-25T18:35:25.241394Z,40mbit,10mbit,800kbit,none,,,15840,14941,1031,1.536,5.969
2025-12-25T18:35:25.738811Z,40mbit,10mbit,800kbit,none,,,13440,14490,242,1.526,7.584
2025-12-25T18:35:26.239381Z,40mbit,10mbit,800kbit,none,,,15440,14775,769,0.900,7.824
2025-12-25T18:35:26.738990Z,40mbit,10mbit,800kbit,none,,,15840,15094,538,0.146,7.240
2025-12-25T18:35:27.240068Z,40mbit,10mbit,800kbit,none,,,13840,14718,-222,0.146,6.419
2025-12-25T18:35:27.738400Z,40mbit,10mbit,800kbit,none,,,15440,14934,443,0.242,7.525
2025-12-25T18:35:28.239146Z,40mbit,10mbit,800kbit,none,,,14672,14856,80,0.271,7.505
2025-12-25T18:35:28.740149Z,40mbit,10mbit,800kbit,none,,,11840,13951,-1143,0.967,6.748
2025-12-25T18:35:29.240499Z,40mbit,10mbit,800kbit,none,,,15440,14397,-320,0.969,6.715
2025-12-25T18:35:29.739266Z,40mbit,10mbit,800kbit,none,,,15440,14710,-224,0.978,7.605
